Address,percentage,zorksees
0xc4E9E087a811bE812F85e49F2A41603d9a0991A9,3.01%,0.01505541
0xcb68110c43c97b6051fed5e2bacc2814adad1688,1.60%,0.00799433
0xd64813e230b945e501aa1969d21fb2072cb95930,1.13%,0.00566583
0x722f0a6f970f8b144f5e92ab3f3beafa280b282f,1.10%,0.00551848
0x46aDf47c494D138DFd56202Bc84Ab1143b7A901f,1.08%,0.00540088
0xa41778c9b64937af21579074d54008fbd221c7d6,0.93%,0.00466214
0x7113fbdc1c6ef083a72ba152b446b10654e4e05e,0.91%,0.00456306
0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,0.76%,0.00379216
0x542a0eaf1358480ec0703f07bc3120a6503ebbc1,0.75%,0.00374521
0x57f39a945d28593b7fd9c0e54c66364d795ef6ba,0.70%,0.00351465
0x89808c49f858b86e80b892506cf11606fb25fcdc,0.69%,0.00343610
0xa24727b0b849732db0258b6fe1b7f3e325d40f76,0.59%,0.00296527
0x55179ffefc2d49dab14ba15d25fb023408450409,0.59%,0.00295204
0xdcb7e8f1b586c94dde9b430557e4df6727779aca,0.59%,0.00293343
0xa5dfa6824d1159efc917d18ca65e0138014c14f7,0.54%,0.00271553
0xf731f4c74eae61dfa88e0b6a13f9d2624bf2b16f,0.52%,0.00261256
0xc6a21511ebd02525cf94bd1dd379fde007550dea,0.51%,0.00257267
0x0404bba9218774da40106de4fb8a8970bcaf4dae,0.49%,0.00245375
0x82d2242257115351899894ef384f779b5ba8c695,0.49%,0.00243776
0x522585ff4cc76f8bc96232444fd8bc9936dc91c0,0.48%,0.00238290
0xf1b98463d6574c998f03e6edf6d7b4e5f917f915,0.48%,0.00238173
0xccc020e1cca71c096ea0316850c1671846eaf5ba,0.47%,0.00236260
0x5758a4917686f139a5ae346ab1f9e4b05ca54d93,0.42%,0.00208145
0x7e935fac4448102c16fa83abc01ac57d38123dca,0.41%,0.00206965
0xeed09cc4ebf3fa599eb9ffd7a280e7b944b436b7,0.41%,0.00205325
0x9fa23d27bc93533cd29e6038275611c829813147,0.40%,0.00202152
0x49c753e8ad63a851e2fefa8efa9d45f0056e4abe,0.40%,0.00198376
0x6d9148e201304aa9cca58a759a134a3fb58fe718,0.37%,0.00186216
0x2ab7249404146652fbd5baec337b66bcf8070ce3,0.36%,0.00180981
0xa982bbdaf783eb7c3914d988b7e2a0be865ccb53,0.35%,0.00177252
0xf7ecae6f035ea4927fde97faa679b5e224afb169,0.35%,0.00175269
0x215b67d707ced250c3803a19348e9c565e42d7a3,0.34%,0.00171576
0xd0c417aab37c6b3acf93da6036bfe29963c5b3d9,0.34%,0.00167937
0x9ade5b98ef4a0bad2c090524fcbbb40fb944fe57,0.33%,0.00164620
0xab7ab9b6495072c1136f96e301bd8f8de900f119,0.33%,0.00164124
0x7a0dff2a955b72159650300a9acef97146dd12e6,0.32%,0.00157621
0xc72aed14386158960d0e93fecb83642e68482e4b,0.31%,0.00156449
0xdf67544b82971a823ba1a3fa1d243a9eea392eb0,0.30%,0.00152069
0x12478d1a60a910c9cbffb90648766a2bdd5918f5,0.30%,0.00151252
0x1f7d1970b0e9f229df8d81f1f358f08ee52462fd,0.29%,0.00146076
0xe5bdf8394f24291d2f543d1b1ea5875b3e273b91,0.28%,0.00142346
0x2fd79462d8cb2c2084f8ff667a1cfa5c0699b8dd,0.28%,0.00140921
0xae7dd2f1aaaca4b5b5bd68f26500431bfe7fa8e6,0.28%,0.00140585
0xa16de11bae5223ee3cd9cfe4acdb86f7f91ce04c,0.28%,0.00139188
0x764f4909251f81976a0a2dcebce95333e4c27517,0.28%,0.00139060
0xc814d2ef6d893568c74cd969eb6f72a62fc261f7,0.27%,0.00137338
0xf84d383d89736637939e1e3fac7a546b56d3b662,0.27%,0.00136273
0x16b8cc5b1558b365d9844385425b13bde0ceaa49,0.27%,0.00134423
0x0d0db6402196fb090cd251a1503b5688a30a6116,0.27%,0.00134048
0x498f119215f978b66886a4f905658e515f3724d5,0.26%,0.00132242
0x2db6f5e838ed2bad993e9ff2d3d7a5c1cc35704c,0.26%,0.00131579
0x3f7a4968fa9992d77af365eb34918e6c0b8a4240,0.26%,0.00131483
0xc05320f54075452ff1a5ce420d64c9d025a452bb,0.26%,0.00130304
0x94ec1108af3614dc38776600876ab53722a879a9,0.26%,0.00127925
0x1c494f1919c1512ebe74a5dcc17dac9a64069023,0.25%,0.00125506
0x74bb592ec37c2d36c941027356cdb138ad0a8613,0.25%,0.00123407
0xcdc7563687cf139a09c26fb578c3ba99021fa1dd,0.25%,0.00122873
0xbb1e599e15f2bf248732ef060cadffeb6363cc4c,0.24%,0.00122464
0x44921802d3172077f933e12f0007715c1238b067,0.24%,0.00122266
0xe1e7106a790017185eca0731301bfb7c571af7c1,0.24%,0.00121987
0xe21658615163c9a74e9b9c2f1d8acafa25a99be4,0.24%,0.00121981
0x5d396a2106694308a40608ef14a1c0892b6b7faa,0.23%,0.00117059
0x76a1272a128b76fa3bee660e3860e560e296d665,0.23%,0.00116522
0x80603ed0af4921e5f00b97145fb36f436ec8dad5,0.23%,0.00115912
0xae2586e76c8a4d8dc1ff3d9ab70bec760ae143c2,0.23%,0.00115681
0x57478b221022952c825668f105d2ee29c8b87ba4,0.23%,0.00115363
0xcb926f497763ea5cf993912a442431e6a91d5a64,0.23%,0.00113347
0xd59f6a5079370ffc4d07fe95e8c12a1aee4d6e78,0.23%,0.00113124
0x197880ef3cffdc6bcf391a59558249037bf711ba,0.23%,0.00112910
0x590ce964c5bc43b8903b013631c64f7bcf950b99,0.22%,0.00110582
0x207f342c470d6ace889cf4bbaa2b24e693531df1,0.21%,0.00107153
0xada3f268965c7410dfa0d74b928d950d94faa554,0.21%,0.00106529
0x13f210c8baf5f5dbaff3e917e2e5a49e73bbaf12,0.21%,0.00105356
0x9cc0447828e761f444ab52a263f2437b704b6ed9,0.21%,0.00104432
0x9e2ba399bebd28ebf48bae66739fa87dacbb1114,0.20%,0.00102055
0x341348ee3510d3944619b0b86188361acdba6b59,0.20%,0.00100536
0x15bb906d674f056099b41da766ac6b1c139f8ad4,0.20%,0.00100042
0x464fbeb7d6a5d459f58251ed135d00a824e5b4f8,0.20%,0.00099289
0x2bccd30dbadc61232cdce59a4834fa3c37d832f4,0.20%,0.00098375
0x34c9d6229de541e2fa77e60835f5106d5842bbb3,0.19%,0.00095530
0x67cb4f868d37c38bd7d0a4259b2e2919f21615c2,0.19%,0.00094486
0x8ed2c27b3c4e88f53f0a9037efaeca131327d15b,0.19%,0.00093353
0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,0.19%,0.00093317
0x7ffbeb62cf6e5e53f898ba52d66d29ca3b2851fd,0.18%,0.00091389
0xe3f0254b09aec48ffa46f9eee5a3bc7a8e510e6d,0.18%,0.00088382
0xb3a7303de6061b89ad470569a6d67048f528aa30,0.18%,0.00088072
0xb84501efe8b7d824329ac9ce76eb5a48372bde22,0.18%,0.00087527
0x5e14c52c105c036c61ac707468f462003dc17c94,0.17%,0.00087451
0x09cc15dda77789d42c0133c909e88fb6e3af793a,0.17%,0.00087283
0xc4f3ad4ade1416ebb8181dbb49e0389f4754cad7,0.17%,0.00086573
0xe88857d67cf8e0031ca1674ffe17f72578e566ee,0.17%,0.00086425
0xe5185c63030e8f4482256b85807f3dd5f13278fa,0.17%,0.00085602
0x7d4d6baed6c3ea27470926c1da7f25446bae139b,0.17%,0.00085472
0x860903e9867fa4f2b5db93d4ce5700f38db60832,0.17%,0.00085257
0x4cc526cd48cc4b571bc92f3ece2433f149f87536,0.17%,0.00084979
0xa76e0fdc290a2df9ac750ff1e7315a20628b529c,0.17%,0.00084575
0xe6cf807e4b2a640dfe03ff06fa6ab32c334c7df4,0.17%,0.00084200
0x6041368d794c57bb287a10b157651a6650df2138,0.17%,0.00084154
0x347f4b87a779433377ceadb75353311993d7161f,0.17%,0.00083602
0x7173ce51d1b494320229e06bbdbe0da258b9b547,0.17%,0.00083407
0x54411028b577177c95d0f1113a946b304cbe9d3e,0.17%,0.00083149
0xc8f0c3cf27c6f62a2355456d0181aeea6923adb6,0.17%,0.00083093
0xe302757f9b7230514d73512b8def95bf45c72539,0.17%,0.00082843
0x307a723904619131b6b226c3e93dbe80eb0034c8,0.16%,0.00082185
0x4ab52791c736bc26d1933b4940ce8454e0474d03,0.16%,0.00080920
0x8a79a92e9aae3ef8f9366ec284e0f41cc75dbae0,0.16%,0.00080272
0x6dc88b231cd04dd1b1e525161162993f47140006,0.16%,0.00079632
0xbb0df9950476c224a41e7472ed90109b52c03415,0.16%,0.00079510
0xf824d66b06e95b5a232d6d9ef19846064f97150e,0.16%,0.00078473
